"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2022","207.00","210.00","210.60","203.20","895.61K","-1.43%"
"05/16/2022","210.00","210.20","215.00","210.00","336.68K","0.00%"
"05/13/2022","210.00","211.20","217.00","210.00","754.37K","-0.10%"
"05/12/2022","210.20","219.20","220.00","210.00","726.51K","-3.22%"
"05/11/2022","217.20","215.20","224.00","212.40","522.76K","0.93%"
"05/10/2022","215.20","214.80","217.00","203.00","949.08K","-1.01%"
"05/06/2022","217.40","222.80","222.80","217.00","343.67K","-2.95%"
"05/05/2022","224.00","221.80","226.00","220.00","400.33K","0.90%"
"05/04/2022","222.00","220.00","222.00","216.00","269.29K","0.91%"
"05/02/2022","220.00","215.00","222.60","214.20","468.06K","2.33%"
"04/29/2022","215.00","220.80","222.00","215.00","504.06K","-2.63%"
"04/28/2022","220.80","218.00","221.80","216.60","355.20K","0.91%"
"04/27/2022","218.80","219.00","220.00","215.80","401.65K","-0.64%"
"04/26/2022","220.20","217.60","222.00","217.00","498.54K","1.19%"
"04/25/2022","217.60","219.80","219.80","216.00","559.40K","-1.00%"
"04/22/2022","219.80","224.00","224.00","218.60","825.92K","-1.87%"
"04/21/2022","224.00","230.00","230.00","223.40","349.10K","-2.44%"
"04/20/2022","229.60","229.00","230.00","227.80","302.04K","0.70%"
"04/19/2022","228.00","220.40","228.00","220.00","286.35K","3.45%"
"04/18/2022","220.40","220.00","221.00","219.00","176.24K","0.64%"
"04/13/2022","219.00","216.40","221.40","216.40","190.61K","1.20%"
"04/12/2022","216.40","219.00","223.00","215.40","647.97K","-1.19%"
"04/11/2022","219.00","219.80","221.60","219.00","331.88K","-0.18%"
"04/08/2022","219.40","220.60","224.60","219.40","349.22K","-0.27%"
"04/07/2022","220.00","231.40","231.40","220.00","496.56K","-5.01%"
"04/06/2022","231.60","229.80","231.60","225.00","565.42K","0.78%"
"04/05/2022","229.80","228.00","229.80","225.00","437.81K","0.79%"
"04/04/2022","228.00","222.00","228.60","222.00","385.32K","2.70%"
"04/01/2022","222.00","225.00","225.00","221.00","465.95K","-1.33%"
"03/31/2022","225.00","224.00","227.80","223.00","849.09K","0.45%"
"03/30/2022","224.00","221.00","224.00","220.40","363.72K","1.54%"
"03/29/2022","220.60","219.80","220.60","214.00","425.05K","0.36%"
"03/28/2022","219.80","214.20","220.00","214.20","354.14K","2.71%"
"03/25/2022","214.00","214.00","216.00","212.20","333.26K","0.47%"
"03/24/2022","213.00","211.00","213.60","210.40","1.05M","1.24%"
"03/23/2022","210.40","205.60","212.20","205.60","824.15K","2.63%"
"03/22/2022","205.00","213.00","214.20","202.20","1.94M","-3.30%"
"03/21/2022","212.00","218.20","219.20","212.00","822.95K","-1.85%"
"03/18/2022","216.00","225.00","225.60","216.00","1.67M","-4.00%"
"03/17/2022","225.00","228.20","229.40","224.80","643.91K","-0.88%"
"03/16/2022","227.00","228.00","228.20","223.60","992.64K","-0.44%"
"03/15/2022","228.00","218.40","229.40","211.00","1.25M","4.40%"
"03/14/2022","218.40","230.00","231.80","216.80","1.14M","-5.04%"
"03/11/2022","230.00","239.80","239.80","230.00","791.65K","-4.09%"
"03/10/2022","239.80","236.00","240.00","233.00","719.25K","3.90%"
"03/09/2022","230.80","222.60","234.80","222.40","766.89K","3.68%"
"03/08/2022","222.60","237.00","237.60","222.60","1.09M","-6.47%"
"03/07/2022","238.00","241.00","241.00","231.20","514.95K","-1.24%"
"03/04/2022","241.00","243.00","243.60","239.20","602.07K","-0.74%"
"03/03/2022","242.80","238.80","243.40","238.60","274.55K","1.68%"
"03/02/2022","238.80","240.00","242.00","238.60","321.78K","-0.50%"
"03/01/2022","240.00","241.40","245.00","240.00","331.97K","-0.41%"
"02/28/2022","241.00","236.00","245.00","236.00","1.15M","2.12%"
"02/24/2022","236.00","246.20","246.80","234.00","989.69K","-4.14%"
"02/23/2022","246.20","247.00","249.00","244.20","482.73K","-1.44%"
"02/22/2022","249.80","244.40","250.00","243.80","445.53K","0.73%"
"02/21/2022","248.00","247.20","248.00","241.20","404.20K","0.40%"
"02/18/2022","247.00","251.00","251.40","245.40","530.29K","-1.98%"
"02/17/2022","252.00","250.00","252.00","249.40","466.56K","0.40%"
"02/16/2022","251.00","249.00","251.00","247.20","828.45K","0.88%"
"02/15/2022","248.80","247.20","249.00","246.00","483.04K","-0.08%"
"02/14/2022","249.00","240.00","249.00","240.00","1.39M","3.75%"
